Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino,Novavax,Covaxin,Medicago,Sanofi/GSK,SKYCovione,Valneva
Argentina,ARG,2021-05-28,39,13,2011747,0,6752846,0,3601499,8,0,0,0,0,0,0
Argentina,ARG,2021-05-29,40,13,2121694,0,6860529,0,3611407,8,0,0,0,0,0,0
Argentina,ARG,2021-05-30,40,13,2180848,0,6928645,0,3613030,8,0,0,0,0,0,0
Argentina,ARG,2021-05-31,40,13,2308081,0,7083619,0,3629938,8,0,0,0,0,0,0
Argentina,ARG,2021-06-01,40,13,2457182,0,7235950,0,3643500,8,0,0,0,0,0,0
Argentina,ARG,2021-06-02,40,13,2620768,0,7368663,0,3656651,9,0,0,0,0,0,0
Argentina,ARG,2021-06-03,40,13,2843722,0,7483231,0,3668876,9,0,0,0,0,0,0
Argentina,ARG,2021-06-04,40,13,3148864,0,7570520,0,3684740,9,0,0,0,0,0,0
Argentina,ARG,2021-06-05,40,13,3426647,0,7614934,0,3689421,9,0,0,0,0,0,0
Argentina,ARG,2021-06-06,40,13,3614576,0,7642378,0,3691456,9,0,0,0,0,0,0
Argentina,ARG,2021-06-07,40,13,3894105,0,7706776,0,3700826,9,0,0,0,0,0,0
Argentina,ARG,2021-06-08,40,13,4171601,0,7791158,0,3708946,9,0,0,0,0,0,0
Argentina,ARG,2021-06-09,41,14,4430685,0,7897706,0,3715746,11,0,0,0,0,0,0
Argentina,ARG,2021-06-10,42,15,4654631,0,8002852,0,3721802,11,0,0,0,0,0,0
Argentina,ARG,2021-06-11,42,15,4838855,0,8174763,0,3732542,11,0,0,0,0,0,0
Argentina,ARG,2021-06-12,42,15,4904881,0,8281813,0,3744627,11,0,0,0,0,0,0
Argentina,ARG,2021-06-13,42,15,4949542,0,8318025,0,3746453,11,0,0,0,0,0,0
Argentina,ARG,2021-06-14,42,15,5076487,0,8418558,0,3757092,11,0,0,0,0,0,0
Argentina,ARG,2021-06-15,43,15,5205856,0,8541322,0,3762878,11,0,0,0,0,0,0
Argentina,ARG,2021-06-16,43,15,5391630,0,8637940,0,3767693,11,0,0,0,0,0,0
Argentina,ARG,2021-06-17,43,16,5620800,0,8716907,0,3774022,11,0,0,0,0,0,0
Argentina,ARG,2021-06-18,46,17,5945607,0,8785597,0,3779924,11,0,0,0,0,0,0
Argentina,ARG,2021-06-19,46,17,6132165,0,8829106,0,3782496,11,0,0,0,0,0,0
Argentina,ARG,2021-06-20,46,17,6210124,0,8850073,0,3782794,11,0,0,0,0,0,0
Argentina,ARG,2021-06-21,47,17,6348455,0,8880184,0,3784095,11,0,0,0,0,0,0
Argentina,ARG,2021-06-22,48,17,6576039,0,8934644,0,3790046,11,0,0,0,0,0,0
Argentina,ARG,2021-06-23,48,17,6769907,0,8979647,0,3814396,11,0,0,0,0,0,0
Argentina,ARG,2021-06-24,48,17,6945071,0,9035898,0,3887565,11,0,0,0,0,0,0
Argentina,ARG,2021-06-25,50,18,7164728,0,9083242,0,3997446,12,0,0,0,0,0,0
Argentina,ARG,2021-06-26,50,18,7358004,0,9114517,0,4089266,12,0,0,0,0,0,0
Argentina,ARG,2021-06-27,50,18,7457261,0,9133674,0,4147139,12,0,0,0,0,0,0
Argentina,ARG,2021-06-28,50,18,7623086,0,9161520,0,4326621,12,0,0,0,0,0,0
Argentina,ARG,2021-06-29,50,18,7800687,0,9185570,0,4499506,12,0,0,0,0,0,0
Argentina,ARG,2021-06-30,51,18,8008168,0,9203258,0,4650204,12,0,0,0,0,0,0
Argentina,ARG,2021-07-01,51,18,8321748,0,9219043,0,4753199,12,0,0,0,0,0,0
Argentina,ARG,2021-07-02,51,18,8589291,0,9254268,0,4866170,13,0,0,0,0,0,0
Argentina,ARG,2021-07-03,53,18,8753193,0,9353889,0,4939372,13,0,0,0,0,0,0
Argentina,ARG,2021-07-04,54,18,8869157,0,9377292,0,4996571,13,0,0,0,0,0,0
Argentina,ARG,2021-07-05,54,18,9129364,0,9466989,0,5056687,13,0,0,0,0,0,0
Argentina,ARG,2021-07-06,55,18,9366182,0,9585378,0,5118496,13,0,0,0,0,0,0
Argentina,ARG,2021-07-07,55,18,9593139,0,9715985,0,5165476,13,0,0,0,0,0,0
Argentina,ARG,2021-07-08,55,19,9725702,0,9885611,0,5273939,13,0,0,0,0,0,0
Argentina,ARG,2021-07-09,55,21,9788929,0,10068004,0,5386008,13,0,0,0,0,0,0
Argentina,ARG,2021-07-10,55,25,9860811,0,10168531,0,5545613,13,0,0,0,0,0,0
Argentina,ARG,2021-07-11,55,27,9912372,0,10217661,0,5610480,13,0,0,0,0,0,0
Argentina,ARG,2021-07-12,55,27,10000106,0,10339493,0,5788231,13,0,0,0,0,0,0
Argentina,ARG,2021-07-13,56,27,10080005,0,10482220,0,5959318,13,0,0,0,0,0,0
Argentina,ARG,2021-07-14,57,27,10149015,0,10611175,0,6159842,13,0,0,0,0,0,0
Argentina,ARG,2021-07-15,58,27,10211132,0,10734334,0,6374661,13,0,0,0,0,0,0
Argentina,ARG,2021-07-16,58,27,10264013,0,10877916,0,6634685,13,0,0,0,0,0,0
Argentina,ARG,2021-07-17,58,27,10304405,0,10985792,0,6809121,13,0,0,0,0,0,0
Argentina,ARG,2021-07-18,58,27,10346625,0,11024138,0,6896825,13,0,0,0,0,0,0
Argentina,ARG,2021-07-19,59,28,10427922,0,11095508,0,7163035,13,0,0,0,0,0,0
Argentina,ARG,2021-07-20,59,40,10496950,0,11282220,0,7356069,15,0,0,0,0,0,0
Argentina,ARG,2021-07-21,59,47,10563620,0,11371316,0,7620423,15,0,0,0,0,0,0
Argentina,ARG,2021-07-22,59,49,10625310,0,11413705,0,7904777,15,0,0,0,0,0,0
Argentina,ARG,2021-07-23,59,52,10700138,0,11440655,0,8211870,15,0,0,0,0,0,0
Argentina,ARG,2021-07-24,59,54,10761089,0,11457833,0,8371444,15,0,0,0,0,0,0
Argentina,ARG,2021-07-25,59,71,10772715,0,11466590,0,8484971,15,0,0,0,0,0,0
Argentina,ARG,2021-07-26,59,75,10876333,0,11493469,0,8762279,15,0,0,0,0,0,0
Argentina,ARG,2021-07-27,59,102,11046996,0,11508846,0,9004630,15,0,0,0,0,0,0
Argentina,ARG,2021-07-28,59,134,11206378,0,11524463,0,9289822,15,0,0,0,0,0,0
Argentina,ARG,2021-07-29,59,149,11325258,0,11540672,0,9579919,15,0,0,0,0,0,0
Argentina,ARG,2021-07-30,59,284,11437010,0,11554841,0,9881108,15,0,0,0,0,0,0
Argentina,ARG,2021-07-31,59,1976,11498667,0,11562327,0,10085176,15,0,0,0,0,0,0
Argentina,ARG,2021-08-01,60,2253,11528109,0,11568745,0,10216505,15,0,0,0,0,0,0
Argentina,ARG,2021-08-02,61,5954,11616249,0,11580968,0,10529826,15,0,0,0,0,0,0
Argentina,ARG,2021-08-03,61,55654,11750125,0,11593037,0,10742504,15,0,0,0,0,0,0
Argentina,ARG,2021-08-04,61,77212,11892848,0,11605503,0,10983413,17,0,0,0,0,0,0
Argentina,ARG,2021-08-05,61,95915,12061373,0,11619782,0,11212543,17,0,0,0,0,0,0
Argentina,ARG,2021-08-06,62,117108,12216463,0,11627318,0,11442945,18,0,0,0,0,0,0
Argentina,ARG,2021-08-07,63,158867,12298447,0,11632969,0,11591865,18,0,0,0,0,0,0
Argentina,ARG,2021-08-08,64,197919,12320880,0,11636271,0,11688858,18,0,0,0,0,0,0
Argentina,ARG,2021-08-09,65,368829,12436741,0,11646683,0,11782936,18,0,0,0,0,0,0
Argentina,ARG,2021-08-10,65,533453,12545998,0,11655466,0,11870996,18,0,0,0,0,0,0
Argentina,ARG,2021-08-11,66,714270,12686542,0,11665029,0,11953018,18,0,0,0,0,0,0
Argentina,ARG,2021-08-12,68,851769,12823834,0,11689952,0,12046000,19,0,0,0,0,0,0
Argentina,ARG,2021-08-13,68,957759,12945561,0,11783405,0,12141845,19,0,0,0,0,0,0
Argentina,ARG,2021-08-14,68,1034205,13034694,0,11839369,0,12177009,19,0,0,0,0,0,0
Argentina,ARG,2021-08-15,68,1072973,13122417,0,11861069,0,12191559,19,0,0,0,0,0,0
Argentina,ARG,2021-08-16,68,1148425,13151128,0,11930409,0,12209177,19,0,0,0,0,0,0
Argentina,ARG,2021-08-17,69,1309424,13218007,0,12069990,0,12281669,19,0,0,0,0,0,0
Argentina,ARG,2021-08-18,69,1468729,13292160,0,12193791,0,12359926,19,0,0,0,0,0,0
Argentina,ARG,2021-08-19,69,1576813,13405151,0,12334444,0,12424511,19,0,0,0,0,0,0
Argentina,ARG,2021-08-20,70,1655200,13556108,0,12478784,0,12487734,19,0,0,0,0,0,0
Argentina,ARG,2021-08-21,70,1678273,13681876,0,12552979,0,12522079,19,0,0,0,0,0,0
Argentina,ARG,2021-08-22,71,1690141,13768998,0,12583429,0,12562754,19,0,0,0,0,0,0
Argentina,ARG,2021-08-23,71,1731347,13899960,0,12677857,0,12705003,19,0,0,0,0,0,0
Argentina,ARG,2021-08-24,71,1768829,14048002,0,12753091,0,12893464,19,0,0,0,0,0,0
Argentina,ARG,2021-08-25,72,1798680,14210852,0,12809275,0,13071378,19,0,0,0,0,0,0
Argentina,ARG,2021-08-26,73,1869242,14360937,0,12862752,0,13240219,19,0,0,0,0,0,0
Argentina,ARG,2021-08-27,73,1927933,14507066,0,12907238,0,13458895,19,0,0,0,0,0,0
Argentina,ARG,2021-08-28,73,1965290,14560772,0,12928829,0,13590046,19,0,0,0,0,0,0
Argentina,ARG,2021-08-29,73,1985287,14594313,0,12961340,0,13672973,19,0,0,0,0,0,0
Argentina,ARG,2021-08-30,74,2034559,14717033,0,13047418,0,13833192,19,0,0,0,0,0,0
